gene,top_go
10000@,developmental process
3980@,immune system process
201973@,metabolic process
50484@,metabolic process
9361@,metabolic process
5428@,response to stimulus
9093@,biological regulation
4976@,response to stimulus
11232@,metabolic process
30968@,biological regulation
219736@,developmental process
10533@,metabolic process
201163@,biological regulation
7157@,metabolic process
1763@,cellular process
55154@,cellular process
142@,biological regulation
55186@,localization
10891@,metabolic process
4205@,multicellular organismal process
92667@,metabolic process
291@,biological regulation
56652@,response to stimulus
1890@,metabolic process
84275@,cellular process
4358@,localization
80119@,cellular process
83667@,biological regulation
7156@,metabolic process
79736@,metabolic process
6742@,biological regulation
100133315@,metabolic process
54840@,metabolic process
2074@,biological regulation
23411@,biological regulation
7141@,reproductive process
55775@,metabolic process
3981@,cellular process
200558@,cellular process
7014@,localization
1161@,cellular process
7515@,cellular process
80311@,biological regulation
8914@,metabolic process
7292@,cellular process
56154@,cellular process
118460@,metabolic process
958@,response to stimulus
55137@,cellular process
5531@,biological regulation
4292@,cellular process
51111@,cellular process
23028@,biological regulation
63979@,biological regulation
3005@,biological regulation
79915@,cellular process
84787@,cellular process
55010@,biological regulation
151987@,biological regulation
11105@,biological regulation
3558@,cellular process
54386@,cellular process
51149@,biological regulation
6118@,cellular process
50943@,biological regulation
23529@,cellular process
6830@,localization
10459@,immune system process
54537@,cellular process
201516@,cellular process
84893@,biological regulation
2956@,cellular process
9400@,biological regulation
55086@,biological regulation
9466@,immune system process
3006@,biological regulation
10721@,immune system process
55135@,cellular process
373861@,biological regulation
7037@,cellular process
64210@,cellular process
8971@,biological regulation
7468@,developmental process
22891@,cellular process
940@,immune system process
51010@,metabolic process
55183@,cellular process
149840@,cellular process
10635@,response to stimulus
116028@,biological regulation
2187@,biological regulation
112441434@,cellular process
51750@,cellular process
9984@,localization
92797@,cellular process
23347@,biological regulation
84083@,metabolic process
23514@,response to stimulus
51548@,metabolic process
64110@,biological regulation
56916@,cellular process
80762@,biological regulation
5788@,immune system process
7040@,biological regulation
604@,biological regulation
56893@,cellular process
3838@,interspecies interaction between organisms
1111@,response to stimulus
3024@,biological regulation
30009@,cellular process
10111@,cellular process
8741@,cellular process
7158@,cellular process
10039@,cellular process
401720@,cellular process
7320@,biological regulation
10189@,localization
4361@,cellular process
158880@,metabolic process
3836@,cellular process
22976@,immune system process
3010@,biological regulation
3007@,biological regulation
6778@,cellular process
2068@,cellular process
3586@,biological regulation
2521@,biological regulation
132243@,biological regulation
10097@,cellular process
29072@,developmental process
3009@,biological regulation
7454@,cellular process
7486@,cellular process
3575@,biological regulation
196528@,developmental process
3565@,immune system process
641@,cellular process
4436@,cellular process
3008@,biological regulation
56979@,biological regulation
115004@,biological regulation
4437@,metabolic process
5888@,cellular process
341567@,biological regulation
9493@,cellular process
6795@,cellular process
54627@,cellular process
24137@,cellular process
9055@,cellular process
